ds;y
2009-07-24_07;0.570047131
2009-07-24_08;0.70354918
2009-07-24_09;1.042661885
2009-07-24_10;1.139584016
2009-07-24_11;1.269952869
2009-07-24_12;1.321372951
2009-07-24_13;1.517473361
2009-07-24_14;1.363934426
2009-07-24_15;1.240928279
2009-07-24_16;1.269209016
2009-07-24_17;1.29932582
2009-07-24_18;1.371940574
2009-07-24_19;1.32492623
2009-07-24_20;1.316622951
2009-07-24_21;1.319116803
2009-07-24_22;1.427735656
2009-07-24_23;1.38004918
2009-07-25_00;1.136858607
2009-07-25_01;0.821311475
2009-07-25_02;0.65332582
2009-07-25_03;0.592256148
2009-07-25_04;0.531985656
2009-07-25_05;0.50660041
2009-07-25_06;0.507420082
2009-07-25_07;0.520436475
2009-07-25_08;0.678836066
2009-07-25_10;1.25717418
2009-07-25_11;1.469625
2009-07-25_12;1.428096311
2009-07-25_13;1.618655738
2009-07-25_14;1.441508197
2009-07-25_15;1.468875
2009-07-25_16;1.309569672
2009-07-25_17;1.323565574
2009-07-25_18;1.424303279
2009-07-25_19;1.453766393
2009-07-25_20;1.424598361
2009-07-25_21;1.513752049
2009-07-25_22;1.456727459
2009-07-25_23;1.333612705
2009-07-26_00;1.064684426
2009-07-26_01;0.861752049
2009-07-26_02;0.729967213
2009-07-26_03;0.588055328
2009-07-26_04;0.52319877
2009-07-26_05;0.522932377
2009-07-26_07;0.537280738
2009-07-26_08;0.616006148
2009-07-26_09;0.926528689
2009-07-26_10;1.207428279
2009-07-26_11;1.549393443
2009-07-26_12;1.626125
2009-07-26_13;1.75227459
2009-07-26_14;1.500983607
2009-07-26_15;1.42170082
2009-07-26_16;1.249819672
2009-07-26_17;1.275305328
2009-07-26_18;1.263840164
2009-07-26_19;1.232797131
2009-07-26_20;1.231375
2009-07-26_21;1.244559426
2009-07-26_22;1.42004918
2009-07-26_23;1.294528689
2009-07-27_00;1.072366803
2009-07-27_01;0.725442623
2009-07-27_02;0.592401639
2009-07-27_03;0.534754098
2009-07-27_04;0.49960041
2009-07-27_05;0.488127049
2009-07-27_06;0.520918033
2009-07-27_07;0.559987705
2009-07-27_08;0.741786885
2009-07-27_09;1.009497951
2009-07-27_10;1.172782787
2009-07-27_11;1.27832377
2009-07-27_12;1.368479508
2009-07-27_13;1.545635246
2009-07-27_14;1.307272541
2009-07-27_15;1.29545082
2009-07-27_16;1.389762295
2009-07-27_17;1.34569877
2009-07-27_18;1.416280738
2009-07-27_19;1.315889344
2009-07-27_20;1.259092213
2009-07-27_21;1.260983607
2009-07-27_22;1.479522541
2009-07-28_00;1.067955102
2009-07-28_01;0.757659184
2009-07-28_02;0.620814286
2009-07-28_03;0.533238776
2009-07-28_04;0.500110204
2009-07-28_05;0.491793878
2009-07-28_06;0.51245102
2009-07-28_07;0.546379592
2009-07-28_08;0.729569388
2009-07-28_09;1.033120408
2009-07-28_10;1.15492449
2009-07-28_11;1.331330612
2009-07-28_12;1.359089796
2009-07-28_13;1.467904082
2009-07-28_14;1.414885714
2009-07-28_15;1.330528571
2009-07-28_16;1.354165306
2009-07-28_17;1.420193878
2009-07-28_18;1.509410204
2009-07-28_19;1.405589796
2009-07-28_20;1.304585714
2009-07-28_21;1.353010204
2009-07-28_22;1.46375102
2009-07-28_23;1.412983673
2009-07-29_00;1.09405102
2009-07-29_01;0.779012245
2009-07-29_02;0.607663265
2009-07-29_03;0.546314286
2009-07-29_04;0.510138776
2009-07-29_05;0.489522449
2009-07-29_06;0.50932449
2009-07-29_07;0.561616327
2009-07-29_08;0.7314
2009-07-29_09;1.09362449
2009-07-29_10;1.301018367
2009-07-29_11;1.318526531
2009-07-29_12;1.415036735
2009-07-29_13;1.508667347
2009-07-29_14;1.367569388
2009-07-29_15;1.253077551
2009-07-29_16;1.302287755
2009-07-29_17;1.365018367
2009-07-29_18;1.430638776
2009-07-29_19;1.377434694
2009-07-29_20;1.263030612
2009-07-29_21;1.280340816
2009-07-29_23;1.451755102
2009-07-30_00;1.122323829
2009-07-30_01;0.816959267
2009-07-30_02;0.644533605
2009-07-30_03;0.56214053
2009-07-30_04;0.511354379
2009-07-30_05;0.503887984
2009-07-30_06;0.519382892
2009-07-30_07;0.572232179
2009-07-30_08;0.800032587
2009-07-30_09;1.097592668
2009-07-30_10;1.276515275
2009-07-30_11;1.390855397
2009-07-30_12;1.40194501
2009-07-30_13;1.523696538
2009-07-30_15;1.27893279
2009-07-30_16;1.261657841
2009-07-30_17;1.346372709
2009-07-30_18;1.37792668
2009-07-30_20;1.256861507
2009-07-30_21;1.311474542
2009-07-30_22;1.510195519
2009-07-30_23;1.397346232
2009-07-31_00;1.144307536
2009-07-31_01;0.845674134
2009-07-31_02;0.65212831
2009-07-31_03;0.564230143
2009-07-31_04;0.519824847
2009-07-31_05;0.526600815
2009-07-31_06;0.528395112
2009-07-31_07;0.568900204
2009-07-31_08;0.745095723
2009-07-31_09;1.001399185
2009-07-31_10;1.216989817
2009-07-31_11;1.366130346
2009-07-31_12;1.356940937
2009-07-31_13;1.478429735
2009-07-31_14;1.48585947
2009-07-31_16;1.354307536
2009-07-31_17;1.476101833
2009-07-31_18;1.503531568
2009-07-31_19;1.38990835
2009-07-31_20;1.330132383
2009-07-31_21;1.425177189
2009-07-31_22;1.636745418
2009-07-31_23;1.454743381
2009-08-01_00;1.153260692
2009-08-01_01;0.847384929
2009-08-01_02;0.69894501
2009-08-01_03;0.59690224
2009-08-01_04;0.54004888
2009-08-01_05;0.517572301
2009-08-01_06;0.502344196
2009-08-01_07;0.517077393
2009-08-01_08;0.662562118
2009-08-01_09;0.97491446
2009-08-01_10;1.25009776
2009-08-01_11;1.393378819
2009-08-01_12;1.513820774
2009-08-01_13;1.634751527
2009-08-01_14;1.734955193
2009-08-01_15;1.471242363
2009-08-01_16;1.413446029
2009-08-01_17;1.340389002
2009-08-01_18;1.41385947
2009-08-01_19;1.456185336
2009-08-01_20;1.314761711
2009-08-01_21;1.379837067
2009-08-01_22;1.445639511
2009-08-02_00;1.10689002
2009-08-02_01;0.824696538
2009-08-02_02;0.675450102
2009-08-02_03;0.610313646
2009-08-02_04;0.566130346
2009-08-02_05;0.532997963
2009-08-02_06;0.503796334
2009-08-02_07;0.548830957
2009-08-02_08;0.720635438
2009-08-02_09;0.963596741
2009-08-02_10;1.195613035
2009-08-02_11;1.593274949
2009-08-02_12;1.655556008
2009-08-02_13;1.742737271
2009-08-02_14;1.792973523
2009-08-02_15;1.536411405
2009-08-02_16;1.357087576
2009-08-02_17;1.286258656
2009-08-02_18;1.214535642
2009-08-02_19;1.307462322
2009-08-02_21;1.398562118
2009-08-02_22;1.4019389
2009-08-02_23;1.300918534
2009-08-03_00;1.056494908
2009-08-03_01;0.822828921
2009-08-03_02;0.658289206
2009-08-03_03;0.56990224
2009-08-03_04;0.551378819
2009-08-03_06;0.522590631
2009-08-03_07;0.53100611
2009-08-03_08;0.598747454
2009-08-03_09;0.851423625
2009-08-03_10;1.151040733
2009-08-03_11;1.322466395
2009-08-03_12;1.457028513
